,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,Last Name,First Name,Club_Dup,First Name_Dup,Player_Dup,POS_Dup,Base Salary,Guaranteed Compensation,Date
68,Adam Cristman,NE,F,28.0,14.0,1421.0,4.0,4.0,40.0,16.0,0.0,3.0,1.0,0.25,10.0,2007,REG,1.0,3.0,1.0,0.25,40.0,41.0,51.0,10.0,1.0,0.0,0.0,0.0,Cristman,Adam,NE,Adam,Adam Cristman,F,17700.0,17700.0,2007-08-31
69,Andy Herron,CLB,F,18.0,10.0,794.0,4.0,2.0,19.0,10.0,0.0,2.0,2.0,0.45,21.1,2007,REG,1.0,2.0,0.0,0.23,52.6,17.0,8.0,7.0,2.0,0.0,1.0,1.0,Herron,Andy,CLB,Andy,Andy Herron,F,140000.0,148750.0,2007-08-31
70,Kenny Cooper,DAL,F,14.0,12.0,1068.0,4.0,2.0,33.0,16.0,1.0,0.0,4.0,0.34,12.1,2007,REG,0.0,1.0,1.0,0.17,48.5,16.0,19.0,9.0,0.0,0.0,1.0,1.0,Cooper,Kenny,DAL,Kenny,Kenny Cooper,F,80000.0,83000.0,2007-08-31
72,Maurice Edu,TOR,M,25.0,25.0,2180.0,4.0,1.0,24.0,8.0,1.0,3.0,1.0,0.17,16.7,2007,REG,0.0,1.0,0.0,0.04,33.3,65.0,50.0,1.0,6.0,1.0,0.0,0.0,Edu,Maurice,TFC,Maurice,Maurice Edu,M,50000.0,132500.0,2007-08-31
73,Gavin Glinton,LA,F,19.0,3.0,711.0,4.0,0.0,19.0,12.0,2.0,1.0,3.0,0.51,21.1,2007,REG,0.0,0.0,0.0,0.0,63.2,7.0,20.0,5.0,0.0,0.0,0.0,0.0,Glinton,Gavin,LA,Gavin,Gavin Glinton,F,50000.0,50000.0,2007-08-31
74,Ramon Nunez,CHV,M,21.0,12.0,1248.0,3.0,5.0,43.0,15.0,2.0,3.0,0.0,0.22,7.0,2007,REG,2.0,1.0,4.0,0.36,34.9,7.0,29.0,1.0,1.0,0.0,0.0,0.0,Nunez,Ramon,CHV,Ramon,Ramon Nunez,M,100000.0,118000.0,2007-08-31
75,Ramon Nunez,CHV,M,21.0,12.0,1248.0,3.0,5.0,43.0,15.0,2.0,3.0,0.0,0.22,7.0,2007,REG,2.0,1.0,4.0,0.36,34.9,7.0,29.0,1.0,1.0,0.0,0.0,0.0,Nunez,Ramon,TFC,Cristian,Cristian Nunez,M,17700.0,17700.0,2007-08-31
76,Cristian Nunez,TOR,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nunez,Cristian,CHV,Ramon,Ramon Nunez,M,100000.0,118000.0,2007-08-31
77,Cristian Nunez,TOR,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nunez,Cristian,TFC,Cristian,Cristian Nunez,M,17700.0,17700.0,2007-08-31
78,Michael Harrington,KC,D,29.0,27.0,2422.0,3.0,4.0,15.0,9.0,0.0,2.0,1.0,0.11,20.0,2007,REG,1.0,2.0,2.0,0.15,60.0,38.0,26.0,7.0,1.0,0.0,0.0,0.0,Harrington,Michael,KC,Michael,Michael Harrington,D,36000.0,53500.0,2007-08-31
