,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,W,L,T,ShO,Wpct,SvPct,Year,Season,PKG,PKA,Last Name,First Name,Club Name,Club Name_Dup,Last Name_Dup,First Name_Dup,POS_Dup,Club_Dup,Base Salary,Guaranteed Compensation,Date
630,Jacob Lissek,DAL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,REG,0.0,0.0,Lissek,Jacob,DAL,,,,,,,,
642,Cody Mizell,COL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,REG,0.0,0.0,Mizell,Cody,COL,,,,,,,,
644,Lalo Fernandez,RSL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,REG,0.0,0.0,Fernandez,Lalo,RSL,,,,,,,,
652,Jimmy Maurer,DAL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,REG,0.0,0.0,Maurer,Jimmy,DAL,,,,,,,,
653,Zachary Wells,,,,,,,,,,,,,,,,2007,,,,,,,HOU,Wells,Zachary,GK,HOU,50400.0,50400.0,2007-08-31
654,Kenny Stamatopolus,,,,,,,,,,,,,,,,2007,,,,,,,TOR,Stamatopolus,Kenny,GK,TFC,30000.0,37500.0,2007-08-31
655,Samuel Reynolds,,,,,,,,,,,,,,,,2007,,,,,,,UNK,Reynolds,Samuel,GK,Pool,17700.0,17700.0,2007-08-31
656,Kenny Schoeni,,,,,,,,,,,,,,,,2007,,,,,,,UNK,Schoeni,Kenny,GK,Pool,17700.0,17700.0,2007-08-31
657,Zachary Wells,,,,,,,,,,,,,,,,2008,,,,,,,DC,Wells,Zachary,GK,DC,52920.0,52920.0,2008-10-07
658,Daniel Cepero,,,,,,,,,,,,,,,,2008,,,,,,,NY,Cepero,Daniel,GK,NY,12900.0,12900.0,2008-10-07
659,Caleb Patterson,,,,,,,,,,,,,,,,2008,,,,,,,NY,Patterson,Caleb,GK,NY,12900.0,12900.0,2008-10-07
660,Kasey Keller,,,,,,,,,,,,,,,,2008,,,,,,,SEA,Keller,Kasey,GK,SEA,0.0,0.0,2008-10-07
661,Bryant Rueckner,,,,,,,,,,,,,,,,2008,,,,,,,UNK,Rueckner,Bryant,GK,Pool,17700.0,17700.0,2008-10-07
662,Christopher Sharpe,,,,,,,,,,,,,,,,2008,,,,,,,UNK,Sharpe,Christopher,GK,Pool,33000.0,33000.0,2008-10-07
663,Bill Hamid,,,,,,,,,,,,,,,,2009,,,,,,,DC,Hamid,Bill,GK,DC,20100.0,26766.66,2009-09-15
664,Robert Shuttleworth,,,,,,,,,,,,,,,,2009,,,,,,,NE,Shuttleworth,Robert,GK,NE,20100.0,20100.0,2009-09-15
665,Daniel Cepero,,,,,,,,,,,,,,,,2009,,,,,,,NY,Cepero,Daniel,GK,NY,34000.0,34000.0,2009-09-15
666,Miguel Benitez,,,,,,,,,,,,,,,,2009,,,,,,,UNK,Benitez,Miguel,GK,Pool,34000.0,34000.0,2009-09-15
667,Kevin Guppy,,,,,,,,,,,,,,,,2009,,,,,,,UNK,Guppy,Kevin,GK,Pool,20100.0,20100.0,2009-09-15
668,Bryant Rueckner,,,,,,,,,,,,,,,,2009,,,,,,,UNK,Rueckner,Bryant,GK,Pool,34000.0,34000.0,2009-09-15
669,Christopher Sharpe,,,,,,,,,,,,,,,,2009,,,,,,,UNK,Sharpe,Christopher,GK,Pool,34000.0,34000.0,2009-09-15
670,Patrick Onstad,,,,,,,,,,,,,,,,2010,,,,,,,HOU,Onstad,Patrick,GK,HOU,164000.0,172333.33,2010-08-12
671,Robert Shuttleworth,,,,,,,,,,,,,,,,2010,,,,,,,NE,Shuttleworth,Robert,GK,NE,40000.0,40000.0,2010-08-12
672,Alex Horwath,,,,,,,,,,,,,,,,2010,,,,,,,UNK,Horwath,Alex,GK,Pool,40000.0,40000.0,2010-08-12
673,Christopher Sharpe,,,,,,,,,,,,,,,,2010,,,,,,,UNK,Sharpe,Christopher,GK,Pool,40000.0,40000.0,2010-08-12
674,Jonathan Kempin,,,,,,,,,,,,,,,,2011,,,,,,,KC,Kempin,Jonathan,GK,KC,42000.0,49083.33,2011-09-01
675,Robert Shuttleworth,,,,,,,,,,,,,,,,2011,,,,,,,NE,Shuttleworth,Robert,GK,NE,42000.0,42000.0,2011-09-01
676,Faryd Mondragon,,,,,,,,,,,,,,,,2011,,,,,,,PHI,Mondragon,Faryd,GK,PHI,230000.0,396666.67,2011-09-01
677,Joshua Ford,,,,,,,,,,,,,,,,2011,,,,,,,SEA,Ford,Joshua,GK,SEA,32604.0,32604.0,2011-09-01
678,Kevin Guppy,,,,,,,,,,,,,,,,2011,,,,,,,UNK,Guppy,Kevin,GK,POOL,42000.0,42000.0,2011-09-01
679,Chris Sharpe,,,,,,,,,,,,,,,,2011,,,,,,,UNK,Sharpe,Chris,GK,POOL,42000.0,42000.0,2011-09-01
680,Jonathan Kempin,,,,,,,,,,,,,,,,2012,,,,,,,KC,Kempin,Jonathan,GK,KC,46500.0,53583.33,2012-05-15
681,Robert Shuttleworth,,,,,,,,,,,,,,,,2012,,,,,,,NE,Shuttleworth,Robert,GK,NE,44100.0,44100.0,2012-05-15
682,Eduardo Fernandez,,,,,,,,,,,,,,,,2012,,,,,,,RSL,Fernandez,Eduardo,GK,RSL,33750.0,33750.0,2012-05-15
